Grid_ID,RouteIdentifier,survey_year,CollectorNumber,nstop
84,NB094,2018,1030122,10
74,NB096,2018,1030122,10
44,NB104,2017,1044071,10
78,NB038,2018,1030372,10
221,NS015,2018,1048652,6
15,NB001,2018,1054918,10
25,NB025,2018,1030464,10
97,NB085,2018,1077263,10
101,NB101,2018,1051811,10
113,NB043,2018,1077268,10
102,NB102,2018,1051811,10
30,NB081,2018,1079009,10
38,NB061,2018,1030081,10
26,NB030,2018,1051830,10
18,NB031,2018,1051830,10
22,NB113,2018,1030060,10
44,NB104,2018,1044071,10
23,NB057,2017,1030089,10
23,NB053,2018,1030085,10
86,NB083,2018,1030122,10
35,NB026,2018,1079129,3
34,NB033,2018,1081240,10
50,NB006,2019,1078366,10
37,NB070,2019,1043244,10
240,NB070,2019,1043244,10
101,NB017,2019,1030056,10
100,NB041,2019,1030056,10
32,NB054,2019,1081148,10
38,NB060,2019,1081183,10
35,NB026,2019,1079129,10
22,NB052,2019,1030370,9
96,NB013,2019,1081262,10
34,NB033,2019,1081240,8
11,NB028,2019,1051827,10
74,NB009,2019,1030122,10
78,NB073,2019,1030070,10
28,NB068,2019,1051843,7
234,NB068,2019,1051843,7
28,NB068,2018,1051843,8
234,NB068,2018,1051843,8
91,NB039,2019,1032147,10
76,NB046,2019,1030405,10
69,NB037,2019,1030372,10
38,NB062,2019,1053423,8
38,NB061,2019,1032461,10
35,NB078,2019,1081351,10
78,NB038,2019,1030372,10
7,NB029,2019,1081392,9
26,NB030,2019,1051830,10
74,NB096,2019,1030122,10
28,NB069,2019,1030051,10
234,NB069,2019,1030051,10
15,NB001,2003,1030403,8
15,NB001,2010,1030403,10
15,NB001,2002,1030403,10
15,NB001,2011,1030403,10
15,NB001,2005,1030403,10
15,NB001,2008,1030403,10
15,NB001,2009,1030403,9
15,NB001,2006,1030403,10
15,NB001,2007,1030403,10
15,NB001,2013,1032146,10
15,NB001,2012,1032146,10
15,NB001,2015,1054918,10
15,NB002,2001,1051827,10
15,NB002,2002,1074834,10
15,NB002,2016,1074873,10
15,NB002,2003,1077261,10
15,NB002,2011,1077261,9
15,NB002,2013,1077261,10
15,NB002,2005,1077261,10
15,NB002,2009,1077261,10
15,NB002,2014,1077261,10
15,NB002,2015,1077269,10
33,NB003,2002,1074861,10
33,NB003,2013,1074890,10
33,NB003,2015,1074890,10
33,NB003,2016,1074890,8
33,NB003,2007,1077307,10
33,NB003,2005,1077307,10
24,NB004,2008,1030390,10
24,NB004,2015,1030390,10
24,NB004,2014,1030390,10
24,NB004,2001,1030390,10
24,NB004,2009,1030390,10
24,NB004,2004,1030390,10
24,NB004,2011,1030390,10
24,NB004,2016,1030390,10
24,NB004,2013,1030390,6
24,NB004,2002,1030390,10
24,NB004,2010,1030390,10
24,NB004,2007,1030390,10
24,NB004,2005,1030390,10
50,NB005,2009,1075571,10
50,NB005,2011,1075571,10
50,NB005,2010,1075571,10
50,NB005,2005,1075571,10
